dist,x,y,height,dsm,dtm
372.4689783,243429.1317,80297.70738,32.78067,263.290009,230.427902
373.6514195,243429.7623,80296.70712,32.378902,263,230.665833
374.8338607,243430.3929,80295.70687,32.890976,263.869995,230.930038
376.0163019,243431.0235,80294.70661,32.425262,263.690002,231.172607
377.1987431,243431.6541,80293.70635,32.386932,263.790009,231.416412
378.3811843,243432.2847,80292.70609,34.444401,266.23999,231.697922
379.5636255,243432.9153,80291.70584,34.949585,266.940002,231.924438
380.7460667,243433.5459,80290.70558,34.687847,266.820007,232.106476
381.9285079,243434.1765,80289.70532,34.439083,266.600006,232.263565
383.1109491,243434.8071,80288.70506,58.115349,290.660004,232.444229
384.2933903,243435.4376,80287.70481,58.213127,290.859985,232.645691
385.4758315,243436.0682,80286.70455,58.305984,291.089996,232.836273
386.6582728,243436.6988,80285.70429,59.519257,292.649994,233.029022
387.840714,243437.3294,80284.70404,59.198456,292.420013,233.202301
389.0231552,243437.96,80283.70378,58.769409,292.25,233.424606
390.2055964,243438.5906,80282.70352,57.893566,291.429993,233.597229
391.3880376,243439.2212,80281.70326,60.12521,293.839996,233.719543
392.5704788,243439.8518,80280.70301,59.98579,293.899994,233.900314
393.75292,243440.4824,80279.70275,59.86956,293.910004,234.001144
394.9353612,243441.113,80278.70249,59.908512,293.929993,234.124191
396.1178024,243441.7436,80277.70223,59.631359,293.950012,234.236679
397.3002436,243442.3742,80276.70198,34.863644,269.26001,234.366806
398.4826848,243443.0048,80275.70172,47.70166,282.200012,234.440643
399.665126,243443.6354,80274.70146,48.134476,282.660004,234.62944
400.8475672,243444.266,80273.70121,56.600754,291.279999,234.702011
402.0300084,243444.8966,80272.70095,56.337151,291.149994,234.808182
403.2124496,243445.5272,80271.70069,57.719387,292.459991,234.769638
404.3948908,243446.1578,80270.70043,58.662609,293.369995,234.728745
405.577332,243446.7884,80269.70018,59.348129,294.190002,234.774445
406.7597732,243447.419,80268.69992,58.981445,293.940002,234.900085
407.9422144,243448.0496,80267.69966,58.442009,293.549988,235.261993
409.1246556,243448.6802,80266.6994,57.702312,293.350006,235.710556
410.3070968,243449.3108,80265.69915,32.566368,268.140015,235.456223
411.489538,243449.9414,80264.69889,33.029034,268.23999,235.268982
412.6719792,243450.572,80263.69863,31.022617,265.975037,234.930435
413.8544204,243451.2026,80262.69838,34.713081,269.480011,234.776733
415.0368616,243451.8332,80261.69812,37.057747,271.880005,234.786743
416.2193028,243452.4638,80260.69786,37.011623,271.820007,234.814346
417.401744,243453.0944,80259.6976,40.372692,275.220001,234.877792
418.5841852,243453.725,80258.69735,41.158871,276.140015,234.943726
419.7666264,243454.3556,80257.69709,41.239735,276.299988,235.052155
420.9490676,243454.9862,80256.69683,41.428001,276.570007,235.139252
422.1315088,243455.6168,80255.69657,40.510231,275.480011,235.02095
423.31395,243456.2473,80254.69632,40.736366,275.649994,234.913757
424.4963912,243456.8779,80253.69606,41.259563,276.170013,234.886978
