dist,x,y,dsm,dtm,height
95.30038781,242794.2405,80143.32802,418.089996,351.445007,67.005569
96.43491624,242795.2686,80143.80779,418.109985,352.033051,66.112984
97.56944466,242796.2967,80144.28757,419.230011,352.923859,66.592445
98.70397309,242797.3248,80144.76735,418.899994,353.457214,65.350731
99.83850151,242798.3529,80145.24712,418.980011,353.900085,64.862045
100.9730299,242799.381,80145.7269,418.820007,354.348907,64.543282
102.1075584,242800.4091,80146.20667,417.549988,354.849915,62.796139
103.2420868,242801.4372,80146.68645,415.049988,355.274933,59.930908
104.3766152,242802.4653,80147.16622,409.769989,355.861115,53.868896
105.5111436,242803.4934,80147.646,410.679993,356.367035,54.235378
106.6456721,242804.5215,80148.12577,413.579987,356.961578,56.84248
107.7802005,242805.5495,80148.60555,427.200012,357.411743,69.597504
108.9147289,242806.5776,80149.08533,432.920013,358.058929,74.820915
110.0492574,242807.6057,80149.5651,433.820007,358.670013,75.239433
111.1837858,242808.6338,80150.04488,433.720001,359.209991,74.69426
112.3183142,242809.6619,80150.52465,433.809998,359.549591,74.321999
113.4528426,242810.69,80151.00443,428.589996,360.083649,68.754425
114.5873711,242811.7181,80151.4842,435.269989,360.449768,74.716011
115.7218995,242812.7462,80151.96398,436.540009,360.730011,75.694778
116.8564279,242813.7743,80152.44375,437.269989,361.328827,76.017159
117.9909563,242814.8024,80152.92353,437.079987,361.755432,75.287766
119.1254848,242815.8304,80153.40331,437.829987,362.449158,75.262917
120.2600132,242816.8585,80153.88308,437.910004,362.82135,75.11293
121.3945416,242817.8866,80154.36286,437.279999,363.417511,73.941467
122.52907,242818.9147,80154.84263,436.869995,363.79538,73.148109
123.6635985,242819.9428,80155.32241,437.23999,364.441925,72.731339
124.7981269,242820.9709,80155.80218,437.200012,364.776703,72.56076
125.9326553,242821.999,80156.28196,437.130005,365.333344,71.978851
127.0671837,242823.0271,80156.76173,436.480011,366.037903,70.562881
128.2017122,242824.0552,80157.24151,423.730011,366.170013,57.385895
129.3362406,242825.0833,80157.72129,424.290009,366.956238,57.320908
130.470769,242826.1114,80158.20106,422.769989,367.565002,55.331379
131.6052975,242827.1394,80158.68084,423.220001,367.996216,55.427677
132.7398259,242828.1675,80159.16061,419.329987,368.582611,50.932934
133.8743543,242829.1956,80159.64039,414.809998,369.029633,45.861217
135.0088827,242830.2237,80160.12016,414.809998,369.705261,45.310608
136.1434112,242831.2518,80160.59994,412.519989,370.21637,42.372581
137.2779396,242832.2799,80161.07972,397.859985,370.886627,27.124313
138.412468,242833.308,80161.55949,397.350006,371.404053,26.171652
139.5469964,242834.3361,80162.03927,400.910004,372.096527,28.758747
140.6815249,242835.3642,80162.51904,401.200012,372.581665,28.555647
141.8160533,242836.3923,80162.99882,400.910004,373.07193,28.039326
142.9505817,242837.4203,80163.47859,403.980011,373.733643,30.267748
144.0851101,242838.4484,80163.95837,405.399994,374.304993,30.921663
145.2196386,242839.4765,80164.43814,406.059998,374.984467,31.164673
146.354167,242840.5046,80164.91792,406.089996,375.404022,30.827822
147.4886954,242841.5327,80165.3977,405.899994,376.068359,29.805162
148.6232238,242842.5608,80165.87747,405.540009,376.554443,29.139828
149.7577523,242843.5889,80166.35725,405.190002,377.53064,27.933437
150.8922807,242844.617,80166.83702,412.730011,377.924194,34.642971
152.0268091,242845.6451,80167.3168,400.534485,378.749146,21.755484
153.1613376,242846.6732,80167.79657,402.514313,379.126099,23.355598
154.295866,242847.7013,80168.27635,399.734924,379.814758,19.965036
155.4303944,242848.7293,80168.75612,402.042755,380.185883,21.919664
156.5649228,242849.7574,80169.2359,398.919708,380.761444,18.090446
157.6994513,242850.7855,80169.71568,404.41153,381.194153,23.224054
158.8339797,242851.8136,80170.19545,435.070007,381.824951,53.340271
159.9685081,242852.8417,80170.67523,383.559998,382.730011,1.208744
161.1030365,242853.8698,80171.155,441.98999,382.739563,59.158936
162.237565,242854.8979,80171.63478,442.070007,383.14859,58.999886
163.3720934,242855.926,80172.11455,442.170013,383.809998,58.458912
164.5066218,242856.9541,80172.59433,442,384.103638,57.985325
165.6411502,242857.9822,80173.0741,444.429993,384.677155,59.753391
166.7756787,242859.0102,80173.55388,445.940002,385.700623,60.365448
167.9102071,242860.0383,80174.03366,446,386.284821,59.854225
169.0447355,242861.0664,80174.51343,445.950012,386.835541,59.229843
170.1792639,242862.0945,80174.99321,444.119995,387.367767,56.592731
171.3137924,242863.1226,80175.47298,444.640015,387.921509,56.893166
172.4483208,242864.1507,80175.95276,450.369995,388.4039,61.961346
173.5828492,242865.1788,80176.43253,451.049988,388.941193,61.891373
174.7173777,242866.2069,80176.91231,451.700012,389.414734,62.262001
175.8519061,242867.235,80177.39208,452.079987,389.963501,62.292107
176.9864345,242868.2631,80177.87186,452.019989,390.429596,61.796124
178.1209629,242869.2912,80178.35164,451.540009,391.117096,60.21629
179.2554914,242870.3192,80178.83141,452.119995,391.698547,60.116875
